"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Tamulpur,58,GEN,Nalbari,Leho Ram Boro,United Peoples Party Liberal,201332,166017,82.5 %,32183,19.4%
Tamulpur,58,GEN,Nalbari,Leho Ram Boro,United Peoples Party Liberal,201332,166017,82.5 %,32183,19.4%
Teok,102,GEN,Jorhat,Renupoma Rajkhowa,Asom Gana Parisad,127679,101945,79.8 %,1350,1.3%
Teok,102,GEN,Jorhat,Renupoma Rajkhowa,Asom Gana Parisad,127679,101945,79.8 %,1350,1.3%
Tezpur,73,GEN,Sonitpur,Prithiraj Rava,Asom Gana Parisad,181060,147783,81.6 %,10123,6.8%
Tezpur,73,GEN,Sonitpur,Prithiraj Rava,Asom Gana Parisad,181060,147783,81.6 %,10123,6.8%
Thowra,107,GEN,Sibsagar,Sushanta Borgohain,Indian National Congress,110207,95751,86.9 %,2006,2.1%
Thowra,107,GEN,Sibsagar,Sushanta Borgohain,Indian National Congress,110207,95751,86.9 %,2006,2.1%
Tingkhong,119,GEN,Dibrugarh,Bimal Borah,Bharatiya Janta Party,136390,117091,85.9 %,28394,24.2%
Tingkhong,119,GEN,Dibrugarh,Bimal Borah,Bharatiya Janta Party,136390,117091,85.9 %,28394,24.2%
Tinsukia,122,GEN,Tinsukia,Sanjoy Kishan,Bharatiya Janta Party,165438,128386,77.6 %,70797,55.1%
Tinsukia,122,GEN,Tinsukia,Sanjoy Kishan,Bharatiya Janta Party,165438,128386,77.6 %,70797,55.1%
Titabar,100,GEN,Jorhat,Bhaskar Jyoti Baruah,Indian National Congress,144577,120013,83.0 %,13379,11.1%
Titabar,100,GEN,Jorhat,Bhaskar Jyoti Baruah,Indian National Congress,144577,120013,83.0 %,13379,11.1%
Udalguri,69,ST,Udalguri,Gobinda Chandra Basumatari,United Peoples Party Liberal,146216,118683,81.2 %,4851,4.1%
Udalguri,69,ST,Udalguri,Gobinda Chandra Basumatari,United Peoples Party Liberal,146216,118683,81.2 %,4851,4.1%
Udharbond,12,GEN,Cachar,Mihir Kanti Shome,Bharatiya Janta Party,151157,128947,85.3 %,2685,2.1%
Udharbond,12,GEN,Cachar,Mihir Kanti Shome,Bharatiya Janta Party,151157,128947,85.3 %,2685,2.1%
