"AC Name","AC No.","Type","District","Winning Candidate","Party","Total Electors","Total Votes","Poll%","Margin","Margin %"
Kumarganj,38,GEN,Dakshin Dinajpur,Toraf Hossain Mandal,All India Trinamool Congress,194392,169803,87.4 %,29367,17.3%
Kumargram,10,ST,Jalpaiguri,Manoj Kumar Oraon,Bharatiya Janta Party,262523,229771,87.5 %,11001,4.8%
Kumargram,10,ST,Jalpaiguri,Manoj Kumar Oraon,Bharatiya Janta Party,262523,229771,87.5 %,11001,4.8%
Kurseong,24,GEN,Darjiling,Bishnu Prasad Sharma (alias B.P. Bajgain),Bharatiya Janta Party,229918,173128,75.3 %,15515,9.0%
Kurseong,24,GEN,Darjiling,Bishnu Prasad Sharma (alias B.P. Bajgain),Bharatiya Janta Party,229918,173128,75.3 %,15515,9.0%
Kushmandi,37,SC,Dakshin Dinajpur,Rekha Roy,All India Trinamool Congress,209600,182477,87.1 %,12584,6.9%
Kushmandi,37,SC,Dakshin Dinajpur,Rekha Roy,All India Trinamool Congress,209600,182477,87.1 %,12584,6.9%
Labhpur,288,GEN,Birbhum,Abhijit Sinha (RANA),All India Trinamool Congress,230036,208970,90.8 %,17975,8.6%
Labhpur,288,GEN,Birbhum,Abhijit Sinha (RANA),All India Trinamool Congress,230036,208970,90.8 %,17975,8.6%
Lalgola,61,GEN,Murshidabad,Ali Mohammad,All India Trinamool Congress,219655,189044,86.1 %,60707,32.1%
Lalgola,61,GEN,Murshidabad,Ali Mohammad,All India Trinamool Congress,219655,189044,86.1 %,60707,32.1%
Madarihat,14,ST,Jalpaiguri,Manoj Tigga,Bharatiya Janta Party,203369,164298,80.8 %,29685,18.1%
Madarihat,14,ST,Jalpaiguri,Manoj Tigga,Bharatiya Janta Party,203369,164298,80.8 %,29685,18.1%
Madhyamgram,118,GEN,North Twenty Four Parganas,Rathin Ghosh,All India Trinamool Congress,258246,227279,88.0 %,48126,21.2%
Madhyamgram,118,GEN,North Twenty Four Parganas,Rathin Ghosh,All India Trinamool Congress,258246,227279,88.0 %,48126,21.2%
Magrahat Paschim,142,GEN,South  Twenty Four Parganas,Gias Uddin Molla,All India Trinamool Congress,214456,191996,89.5 %,46941,24.4%
Magrahat Paschim,142,GEN,South  Twenty Four Parganas,Gias Uddin Molla,All India Trinamool Congress,214456,191996,89.5 %,46941,24.4%
Magrahat Purba,141,SC,South  Twenty Four Parganas,Namita Saha,All India Trinamool Congress,228746,204673,89.5 %,54079,26.4%
Magrahat Purba,141,SC,South  Twenty Four Parganas,Namita Saha,All India Trinamool Congress,228746,204673,89.5 %,54079,26.4%
Maheshtala,155,GEN,South  Twenty Four Parganas,Dulal Chandra Das,All India Trinamool Congress,252897,217920,86.2 %,57949,26.6%
Maheshtala,155,GEN,South  Twenty Four Parganas,Dulal Chandra Das,All India Trinamool Congress,252897,217920,86.2 %,57949,26.6%
Mahishadal,208,GEN,Purba Medinipur,Tilak Kumar Chakraborty,All India Trinamool Congress,235369,217590,92.4 %,2386,1.1%
Mahishadal,208,GEN,Purba Medinipur,Tilak Kumar Chakraborty,All India Trinamool Congress,235369,217590,92.4 %,2386,1.1%
Mal,20,ST,Jalpaiguri,Bulu Chik Baraik,All India Trinamool Congress,242262,208556,86.1 %,5465,2.6%
